scheme_id,scheme_name,description,jurisdiction_type,state_code,category,annual_income_limit,occupations,social_categories,gender,age_min,age_max,is_portable,portability_type,source_dataset,source_file
CENTRAL_NA_double_bedroom_housing_scheme_2bhk_scheme,Double Bedroom Housing Scheme (2BHK Scheme),"The government of Telangana formulated the double bed room housing scheme in the month of October 2015 with a view to providing dignity to the poor by providing 100% subsidized housing. There is no beneficiary contribution under this scheme which is one of its kind. In rural areas, beneficiaries solely depend on seasonal conditions for their earnings, the 2BHK housing helped in protecting them from debt traps as was the case in the past. ﻿ Hitherto the old yardstick was to provide a 260 sqft house with a single room; The ""Double Bedroom Housing"" provides two bedrooms, a hall, a kitchen and two toilets covering the 560 Sqft plinth area. The plot area is 125 sq yards for an independent house in a rural area and worked out to 36 Sq yards of undivided land share in G++ pattern houses in urban areas. The land is thus provided free of cost apart from the cost of the dwelling unit. ﻿ This is perhaps the only State in the Country to launch such a liberal scheme for the poor. Under this scheme, the beneficiaries neither take a loan nor contribute which is a great boon for rural and urban poor families, for acquiring a dwelling unit. It is a paradigm shift from a credit and subsidy-based scheme to a ""fully subsidized scheme"" which creates a sound economic asset with a hygienic living environment for the beneficiary, there by contributing enormously to the socio-economic growth of the individual and as well as the community.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_doubling,Doubling,,CENTRAL,,Demand No. 84,,,,,0,200,True,FULLY_PORTABLE,mrsumitjha_central,CenterSectorScheme2021-22.csv
CENTRAL_NA_dr_ambedkar_central_sector_scheme_of_interest_subsidy_on_educational_loans_for_overseas_studies_for_other_backward_classes_obcs_and_economically_backward_classes_ebcs,Dr Ambedkar Central Sector Scheme of Interest Subsidy on Educational Loans for Overseas Studies for Other Backward Classes (OBCs) and Economically Backward Classes (EBCs),"""Dr Ambedkar Central Sector Scheme of Interest Subsidy on Educational Loans for Overseas Studies for Other Backward Classes (OBCs) and Economically Backward Classes (EBCs)"" is an Education Loan Scheme by the Department of Social Justice and Empowerment, Ministry of Social Justice and Empowerment. ﻿ Implementing Agency The Scheme will be implemented by the Nodal Bank as per the MoU between the Banks and the Ministry of Social Justice & Empowerment. ﻿ Scope The scheme provides interest subsidy to the students belonging to the OBCs and EBCs on the interest payable for the period of the moratorium for the Education Loans for overseas studies to pursue approved courses of studies abroad at Masters, M.Phil. and PhD level. ﻿ Objective To award interest subsidies to meritorious students belonging to the Other Backward Classes and Economically Backward Classes to provide them with better opportunities for higher education abroad and enhance their employability.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_a_p_j_abdul_kalam_meritorious_students_incentive_scheme_class_12th_passed,Dr. A.P.J. Abdul Kalam Meritorious Students Incentive Scheme (Class 12th Passed),"The scheme ""Dr. A.P.J. Abdul Kalam Meritorious Students Incentive Scheme"" was launched by the School Education Department, Government of Madhya Pradesh, to motivate students from lower economic backgrounds and support them economically. Under this scheme, a cash award of ₹5,000/- is given to the students who have obtained the highest marks in the 12th class examination in government schools within their district. To be eligible for this benefit, the annual income of the student's parents must be less than ₹1,00,000/-.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_apj_abdul_kalam_shramik_pravidhik_shiksha_sahaayata_yojana,Dr. APJ Abdul Kalam Shramik Pravidhik Shiksha Sahaayata Yojana,The Dr. APJ Abdul Kalam Shramik Pravidhik Shiksha Sahayata Yojana (DAKSPSSY) is a scheme launched by the Government of Uttar Pradesh to provide financial assistance to the children of registered workers for pursuing technical education. The scheme aims to promote technical education among the children of workers and help them build a better future.,CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_ambedakar_centrally_sponsored_scheme_of_post_matric_scholarships_for_the_economically_backward_class_ebc_students,Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,"""Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students"" is a Scholarship Scheme by the Department of Social Justice and Empowerment, Ministry of Social Justice and Empowerment. The objective of the scheme is to provide financial assistance to the Economically Backward Class (EBC) students studying at the post-matriculation or post-secondary stage to enable them to complete their education. These scholarships shall be available for studies in India only and will be awarded by the Government of State/Union Territory to which the applicant actually belongs, i.e. permanently settled.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_ambedkar_awas_yojana,Dr. Ambedkar Awas Yojana,"The scheme ""Dr. Ambedkar Awas Yojana"" was launched by the Director of Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat, in the year 1999. Under the scheme, financial assistance of ₹1,20,000/- is provided to Scheduled Caste individuals who do not own a residential home, have an old rough residential home, or own a plot for residence, and who belong to the Below Poverty Line (BPL) category for the construction of a house. The assistance will be paid in three installments to economically weaker Scheduled Caste individuals, especially those below the poverty line, in both urban and rural areas for house construction on an individual basis. Implementing Agency: In Urban Areas : District Deputy Director, Scheduled Caste Welfare Office In Rural Areas: District Social Welfare Officer Office",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_ambedkar_foundation_essay_competition_scheme_for_class_10th_12th_colleges_universities_institutions_students_in_22_indian_languages_and_english,Dr. Ambedkar Foundation Essay Competition Scheme for Class 10th-12th & Colleges/Universities/Institutions Students in 22 Indian Languages and English,"The ""Dr. Ambedkar Foundation Essay Competition Scheme for Class 10th–12th and College/University/Institution Students in 22 Indian Languages and English"" is implemented by the Dr. Ambedkar Foundation under the Ministry of Social Justice and Empowerment, Government of India. Under this scheme, cash prizes and recognition are awarded to school and college/university students who write insightful essays on Babasaheb Ambedkar’s thoughts on social justice, empowerment, and national integration. Objective: The primary objective of this Essay Competition is to encourage school, college and university students of 10th and 12th standards to write on the contribution of Babasaheb, particularly on his thoughts on social justice, empowerment of the depressed section, removal of caste-based discriminations like untouchability and atrocities on Dalits, national integration, communal harmony and the like. Topics: The topics of the essay shall be selected every year by the respective Chairs from the themes based on Dr. Ambedkar’s thoughts on social justice, removal of inequality and discrimination, ameliorating the conditions of weaker sections of the society, removal of untouchability, caste-based prejudices, disparities, equality of opportunity, social democracy etc. Medium: The essays may be written in Indian Languages and English. Indian languages: (1) Assamese, (2) Bengali, (3) Gujarati, (4) Hindi, (5) Kannada, (6) Kashmiri, (7) Konkani, (8) Malayalam, (9) Manipuri, (10) Marathi, (11) Nepali, (12) Odiya, (13) Punjabi, (14) Sanskrit, (15) Sindhi, (16) Tamil, (17) Telugu, (18) Urdu (19) Bodo, (20) Santhali, (21) Maithili and (22) Dogri.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_ambedkar_medhavi_chattar_sansodhit_yojna,Dr. Ambedkar Medhavi Chattar Sansodhit Yojna,"The Haryana government has prepared a scheme to provide scholarship to the meritorious students of Scheduled Castes, Backward Classes, Nomadic, DNTs, Semi-Nomadic, Vimukt Jaati and Tapriwas Jaati of classes 11th to postgraduate level. It aims to produce a feeling of competition amongst them so that they can achieve great milestones in the field of education. Both online and offline applications are invited under this scheme. Under this scheme an incentive from 8000 to 12000 per annum is provided to the meritorious students of classes from class 11th to post graduate level. Student may submit their online application on website i.e https://saralharyana.gov.in/. ﻿",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_ambedkar_medhavi_chhatravriti_yojna_to_other_backward_classes_students,Dr. Ambedkar Medhavi Chhatravriti Yojna to Other Backward Classes Students,"The scheme “Dr. Ambedkar Medhavi Chhatravriti Yojna to Other Backward Classes Students” was started by the Department of Education, Himachal Pradesh. Under the scheme, the Scholarship is given to the top 1000 meritorious students of Other Backward Classes (OBC) declared as such in the result of the Matric Examination conducted by the H.P. Board of School Education, Dharamshala, strictly on a merit basis to students studying in a recognized (including Professional/Technical) institution within or outside the State. The renewal in the 10+2 Class/2nd Year of course will be subject to satisfactory performance in internal examinations of the 10+1 Class/1st Year Course.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_ambedkar_medhavi_chhatravriti_yojna_to_scheduled_caste_students,Dr. Ambedkar Medhavi Chhatravriti Yojna to Scheduled Caste Students,"The scheme “Dr. Ambedkar Medhavi Chhatravriti Yojna to Scheduled Caste Students” was started by the Department of Education, Himachal Pradesh. Under the scheme, the scholarship is given to the top 1250 meritorious students of the Scheduled Caste category after modification from the session 2018-19 declared as such in the result of the Matric Examination conducted by the H.P. Board of School Education, Dharamshala, strictly on a merit basis to students studying in a recognized (including Professional/Technical) institution within or outside the State. The renewal in the 10+2 Class/2nd Year of course will be subject to satisfactory performance in internal examinations of the 10+1 Class/1st Year Course.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_ambedkar_medical_aid_scheme_revised_2009,Dr. Ambedkar Medical Aid Scheme (Revised – 2009),"The scheme “Dr. Ambedkar Medical Aid Scheme” has been revised and implemented by the Directorate of Welfare of Scheduled Caste & Backward Classes, Government of Haryana in 2009. The scheme is meant to provide medical treatment facilities to patients suffering from serious ailments requiring surgery of the Kidney, Heart, Liver, Cancer, and Brain or any other life-threatening diseases including Knee surgery and Spinal surgery to Scheduled Caste and Scheduled Tribe persons whose annual family income is less than ₹ 1,00,000/- per annum and will be implemented through the following Hospitals: •	All India Institute of Medical Sciences, New Delhi. •	Sanjay Gandhi Post Graduate Institute, Lucknow, Uttar Pradesh. •	Patna Medical College Hospital, Patna, Bihar. •	Jabalpur Hospital and Research Centre, Jabalpur, Madhya Pradesh. •	B. Barua Cancer Institute, Guwahati, Assam. •	Birla Heart Foundation, Kolkata, West Bengal. •	Kalinga Hospital Ltd. Chandrashekharpur, Bhubaneswar, Orissa. •	Tata Cancer Research Institute, Mumbai, Maharashtra. •	Nizam Institute of Medical Sciences, Hyderabad, Andhra Pradesh. •	The Voluntary Health Services, Chennai. •	All CGHS-approved Hospitals as revised from time to time by the Ministry of Health & Family Welfare, Government of India. •	All State Government Medical Colleges attached Hospitals even if not included under CGHS Scheme. •	All State Hospitals. •	All Hospitals recognized by State Government. •	All Hospitals are fully funded by either the Central Government or the State Governments. •	All Government Hospitals in District Headquarters/ major towns where surgery or treatment facility for Kidney, Heart, Liver Cancer, and Brain or any other life-threatening disease including knee surgery and spinal surgery is available. •	In exceptional cases where the Chairperson is personally convinced of the genuineness and justification for the need to cover any Hospital outside the approved list, can be approached for eligible treatment.  Disbursement: 1.	75% of the estimated cost of the treatment will be directly released to the concerned Hospital, with a maximum ceiling limit of ₹ 1,00,000/- in each case, in the form of a crossed cheque/ DD. 2.	The 50% of the total admissible medical aid will be paid, in advance, directly to the Hospital before surgery as the first installment. 3.	The remaining 50% amount will be released to the concerned Hospital after the surgery, on submission of the final bills duly certified by the Medical Superintendent of the said Hospital. 4.	Further, medical aid from the foundation and other sources should not exceed the total estimated cost of the treatment. A certificate in this regard should be obtained from the Medical Superintendent of the concerned Hospital. 5.	The Estimated Cost certificate to be submitted along with the application should contain the date fixed for the surgical operation.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_b_r_ambedkar_state_award_to_sc_st_obc_minorities_students,Dr. B. R. Ambedkar State Award To SC/ST/OBC/Minorities Students,"Detailed Department for the Welfare of SC/ST/OBC, Government of NCT of Delhi invites applications for Dr B.R. Ambedkar State Award to SC/ST/OBC/Minorities Students, Delhi 2021 from students pursuing graduation from recognized colleges/institutions. This scholarship aims to award the eligible meritorious students. Selected toppers in each discipline at graduation level will receive an award of INR 25,000.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_b_r_ambedkar_awas_navinikarn_yojna,Dr. B.R. Ambedkar Awas Navinikarn Yojna,"The Haryana government launched the BR Ambedkar Awas Navinikaran Yojana to assist the backward classes of the State by providing funds for home repairs. Under this scheme, the government will sanction up to Rs 80,000 to the beneficiaries to repair their old houses. However, the scheme is only applicable for the Scheduled Castes (SCs), De-notified Tribes, and Tapriwas Caste. This is a G2C service. Only on-line applications on https://saralharyana.gov.in/ are accepted under this scheme. Applicants can also apply for the Dr Ambedkar Navinikaran Yojana offline by attaining the application form from their Tehsil/Welfare Department. The applicant must fill the form with the desired information along with the detailed repair quotation from the contractor. Once every detail is provided, it should be attested and submitted to the Tehsil/Welfare Department. The following conditions of eligibility for this scheme are as follow: The applicant should be been person amongst Scheduled Castes. The applicant should have a plot of 50 sq.yard in rural areas and 35 sq.yard in urban areas. The applicants should be a permanent resident of Haryana. The applicants should be included under the Below Poverty Line family list. The applicant must have a bank account to receive the money. ﻿ To apply for this Scheme, the applicant must have the required documents which are as follow: Ration Card Voter ID Aadhar Card Caste Certificate Land Certificate Income Certificate Estimated repair cost Photocopy of bank’s passbook ﻿ ﻿",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_b_r_ambedkar_memorial_award_to_scheduled_caste_students,Dr. B.R. Ambedkar Memorial Award to Scheduled Caste Students,"The scheme ""Dr. B.R. Ambedkar Memorial Award to Scheduled Caste Students” was introduced by the Adi Dravidar Welfare Department, Government of Puducherry. The award is granted to top ranking boy and girl student in each region (Pondicherry, Karaikal and Yanam) who have secured not less than 55% of marks in the aggregate in the Higher Secondary Examination.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_baba_saheb_ambedkar_loan_for_higher_study_in_foreign_countries,Dr. Baba Saheb Ambedkar Loan for Higher Study in Foreign Countries,"The scheme “Dr. Baba Saheb Ambedkar Loan for Higher Study in Foreign Countries” is administered by the Director Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat. The scheme was commenced in the year 1999 with the objective to provide an opportunity to Scheduled Caste students to study at abroad. Under this scheme, a loan of ₹15 lakhs is provided at an interest rate of 4% to offer financial assistance to bright career students of the Scheduled Castes who cannot go abroad for higher studies due to the their poor economic condition. In this scheme, loans are provided to students for pursuing graduate and postgraduate courses to cover expenses such as tuition fees, books, hostel fees, living expenses, travel expenses, and pocket money.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_babu_jagjivan_ram_living_cum_work_shed_construction_scheme,Dr. Babu Jagjivan Ram Living cum work shed Construction Scheme,"The ""Dr. Babu Jagjivan Ram Living cum work shed Construction Scheme"" provides financial assistance to houseless leather artisans for constructing Living cum Work Sheds through the Rajiv Gandhi Rural Housing Corporation. The artisans who own a site, old house, or hut in their name can avail the benefit.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_bhim_rao_ambedkar_meritorious_student_award_scheme,Dr. Bhim Rao Ambedkar Meritorious Student Award Scheme,"The ""Dr. Bhim Rao Ambedkar Meritorious Student Award Scheme"" was launched by the Scheduled Caste Welfare Department, Government of Madhya Pradesh, to encourage students from the Scheduled Caste category to achieve high academic scores and motivate them to pursue higher education. This scheme awards special prizes to meritorious Scheduled Caste students who secure the highest marks in the Class 10th and 12th board examinations conducted by the Board of Secondary Education, CBSE, and ICSE in the state.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_bhimrao_ambedkar_aarthik_kalyan_yojana,Dr. Bhimrao Ambedkar Aarthik Kalyan Yojana,"The Dr. Bhimrao Ambedkar Aarthik Kalyan Yojana, under the Tribal Welfare and Scheduled Caste (SC) Department of Madhya Pradesh, provides a 7% annual interest subsidy on loans for Scheduled Caste beneficiaries for up to 5 years to support new self-employment ventures. The project limit ranges from ₹10,000 to ₹1 lakh for all types of self-employment, with specific eligibility and financial assistance provisions for SC applicants. Beneficiaries can avail of a 12-day online entrepreneurship development training under the scheme. The scheme covers projects in the industry (manufacturing), service, and business sectors eligible for bank loan guarantees under CGTMSE, through Public Sector, Private Sector, or Regional Rural Banks registered as Member Lending Institutions (MLIs) with CGTMSE.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_d_s_kothari_post_doctoral_fellowships_in_sciences,Dr. D.S. Kothari Post Doctoral Fellowships In Sciences,"Dr. D.S. Kothari Post Doctoral Fellowships in Sciences was introduced by the University Grants Commission, Dept. of Higher Education. In addition to the existing RA/PDF positions provided by various funding agencies, a need was felt for a PDF scheme running in a flexible mode, with fast track, online handling, and decision-making. The initiative would offer ₹ 10,00,000/- in financial assistance to 132 selected candidates. The tenure is 2 years. The scheme is open for full-time research work, predominantly to young researchers preferably below 35 years of age who have been awarded their Ph.D. Degree under science faculty. The Reservation Policy of the Government of India with regard to SC/ST/OBC/PH is followed. The upper age limit for applicants is 35 years, with a relaxation in age for SC/ST/OBC/Women candidates applicable as per Government of India Norms.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_d_s_kothari_research_grant_for_newly_recruited_faculty_members,Dr. D.S. Kothari Research Grant For Newly Recruited Faculty Members,"The scheme ""Dr. D.S. Kothari Research Grant for Newly Recruited Faculty Members"" is a research grant scheme by the University Grants Commission (UGC), Department of Higher Education (DoHE). The purpose of the research grant is to provide opportunities to regularly appointed faculty members of Universities/ Institutes/ Colleges to pursue research in their area(s). All teachers who are newly appointed at the level of Assistant Professor against permanent posts in the university shall be eligible to receive financial support under the scheme. The Assistant professor should possess a Ph.D. degree with a minimum of five (5) research papers to his / her credit, published in journals of international repute. There are 132 slots, and the tenure is 2 years. The quantum of support under the scheme is ₹ 10,00,000.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_dharmambal_ammaiyar_ninaivu_widow_remarriage_assistance_scheme_i,Dr. Dharmambal Ammaiyar Ninaivu  Widow Remarriage Assistance Scheme-I,"The ""Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme"" was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme's objective is to encourage widow remarriage and to rehabilitate widows by giving financial assistance along with 1 sovereign (8gm) 22-carat gold coin. Interested applicants should apply Offline or via CSC.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_dharmambal_ammaiyar_ninaivu_widow_remarriage_assistance_scheme_ii,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme-II,"The 'Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme's objective is to encourage widow remarriage and to rehabilitate widows by giving financial assistance along with 1 sovereign (8gm) 22-carat gold coin. Interested applicants should apply offline or via CSC.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_muthulakshmi_reddy_ninaivu_inter_caste_marriage_assistance_scheme_i,Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme-I,"The 'Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme's objective is to abolish caste and community discrimination by encouraging inter-caste marriage by giving financial assistance to newly married couples of whom one spouse should be from a Scheduled Caste / Scheduled Tribe and the other from a different Community.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_muthulakshmi_reddy_ninaivu_inter_caste_marriage_assistance_scheme_ii,Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme-II,"The 'Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme's objective is to abolish caste and community discrimination by encouraging inter-caste marriage by giving financial assistance to newly married couples of whom one spouse is from other community (Forward Community) and the other from the Backward Class / Most Backward Class Community. ﻿",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_p_g_solanki_scheme_for_loan_assistance_to_law_graduates_of_scheduled_caste,Dr. P. G. Solanki Scheme for Loan/Assistance to Law Graduates of Scheduled Caste,"The scheme “Dr. P. G. Solanki Scheme for Loan/Assistance to Law Graduates of Scheduled Caste” was launched by the Director Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat. The scheme was launched in the year 1973. Under this scheme, law graduates belonging to the Scheduled Caste who intend to start independent legal practice will receive financial assistance for the purchase of business premises/shops.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_p_g_solanki_scheme_for_loan_assistance_to_medical_graduate_doctors_of_scheduled_caste,Dr. P. G. Solanki Scheme for Loan/Assistance to Medical Graduate Doctors of Scheduled Caste,"The scheme “Dr. P. G. Solanki Scheme for Loan/Assistance to Medical Graduate Doctors of Scheduled Caste” was launched by the Director Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat. The scheme was launched in the year 1976. Under the scheme, loans/financial assistance is provided to the Scheduled Caste Medical Graduates possessing qualifications such as M.B.B.S, B.S.A.M, B.A.M.S, B.A.M (Ayurveda), B.D.S (Dental) Homeopathic Degree/ BHMS and DHMS in Diploma, and Homeopathic Degree/Diploma (BHMS and DHMS in Diploma) to start their independent profession.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_p_g_solanki_scheme_for_loan_assistance_to_medical_post_graduate_doctors_of_scheduled_caste,Dr. P. G. Solanki Scheme for Loan/Assistance to Medical Post Graduate Doctors of Scheduled Caste,"The scheme “Dr. P. G. Solanki Scheme for Loan/Assistance to Medical Post Graduate Doctors of Scheduled Caste” was launched by the Director Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat. The scheme was launched in the year 1982. Under the scheme, loans/financial assistance is given to the Scheduled Caste Medical Post Graduate (M.D/M.S) Doctors to start their independent profession/clinic consultation room, etc.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_p_g_solanki_scheme_for_stipend_to_scheduled_caste_lawyers,Dr. P. G. Solanki Scheme for Stipend to Scheduled Caste Lawyers,"The scheme “Dr. P. G. Solanki Scheme for Stipend to Scheduled Caste Lawyers” was launched by the Director Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat. The scheme was launched in year 2000. Under the scheme, a monthly stipend is provided for three years to law graduates belonging to the scheduled caste category, as well as to the senior lawyer who trains such individuals. This support is extended due to their poor financial condition, aiming to prevent mid-practice dropout.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_panjabrao_deshmukh_hostel_maintenance_allowance,Dr. Panjabrao Deshmukh Hostel Maintenance Allowance,"The Panjabrao Deshmukh Scheme is a welfare scheme launched by the Government of Maharashtra to provide financial assistance to students from economically weaker sections of the society who are pursuing higher education. The scheme provides financial assistance to students for their tuition fees, examination fees, and other related expenses. ﻿ The objective of this scheme is to encourage and support students from economically weaker sections of the society to pursue higher education and to help them achieve their career aspirations. The scheme aims to bridge the gap between the economically privileged and underprivileged students and to ensure that every deserving student has equal access to higher education. ﻿ Under this scheme, eligible students can apply for financial assistance through the online portal of the scheme. The applicants are required to provide their personal details, academic records, income certificate, and other relevant documents as per the guidelines of the scheme. The applications are then verified and scrutinized by the authorities, and the financial assistance is provided to the eligible students directly to their bank accounts. ﻿ Overall, the Panjabrao Deshmukh Scheme is an important initiative by the Government of Maharashtra towards the goal of inclusive and equitable education. It provides a much-needed financial support system for students from economically weaker sections of the society, thereby helping them to achieve their educational goals and aspirations. ﻿",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_s_radhakrishnan_ugc_post_doctoral_fellowship,Dr. S. Radhakrishnan UGC Post-Doctoral Fellowship,"The scheme ""Dr. S. Radhakrishnan UGC Post-Doctoral Fellowship"" is a fellowship scheme by the University Grants Commission (UGC), Department of Higher Education (DoHE). Post-doctoral research is an important enabling step in grooming young researchers for launching an academic/research career. A post-doctoral stint also provides an opportunity to acquire new skills, broaden one's horizon and offer a platform for transition into cross-disciplinary areas. University Grants Commission provides opportunities for post-doctoral research under the UGC Post-doctoral fellowship schemes. ﻿ Objective: The objective of these fellowships is to provide an opportunity to carry out advanced studies and research in Sciences, Engineering, and Technology, Humanities & Social Sciences including languages in Indian Universities/Institutions. The tenure of the fellowship is 3 years with no provision for further extension.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_savitaben_ambedkar_inter_caste_marriage_assistance_scheme,Dr. Savitaben Ambedkar Inter Caste Marriage Assistance Scheme,"The scheme “Dr. Savitaben Ambedkar Inter Caste Marriage Assistance Scheme” is implemented by the Director Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat. The scheme has been implemented as part of social empowerment by addressing inequality through marriages between individuals from Scheduled Castes of Hinduism and those from castes other than Scheduled Castes of Hinduism. Under the scheme, the couple is to be provided financial assistance of ₹2,50,000/- to encourage inter-caste marriages between Scheduled Castes and other Hindus. This scheme is a centrally sponsored initiative with a 50% contribution from both the state and central governments.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_ysr_aarogyasri_health_insurance_scheme,Dr. YSR Aarogyasri Health Insurance Scheme,"The ""Dr. YSR Aarogyasri Health Insurance Scheme"" was launched in 2007 by the Govt. of Andhra Pradesh to provide financial aid to low-income families in Andhra Pradesh. The scheme is a unique PPP model in the field of Health Insurance, tailor made to the health needs of poor patients and provides end-to-end cashless services for identified diseases under secondary and tertiary care through a network of service providers from Government and private sector. ﻿ The objective of the scheme are: To provide free quality hospital care and equity of access to BPL families by purchase of quality medical services from identified network of health care providers through a self-funded reimbursement mechanism (serviced by Trust). To provide financial security against the catastrophic health expenditures. To strengthen the Government Hospitals through demand side financing. To provide universal coverage of health for both urban and rural poor of the State of Andhra Pradesh.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_dr_babasaheb_ambedkar_udyog_uday_yojana_assistance_for_interest_subsidy_manufacturing_sector,Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Interest Subsidy (Manufacturing Sector),"The scheme ""Dr.Babasaheb Ambedkar Udyog Uday Yojana"" is an umbrella scheme launched by the Industries and Mines Department, Gujarat. It aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports. Effective from August 7th, 2020 to August 6th, 2025, this initiative supports SC/ST entrepreneurs and strengthens MSMEs, making them globally competitive. The component ""Assistance for Interest Subsidy (Manufacturing Sector)"" provides financial relief to enterprises in the manufacturing sector by offering an interest subsidy on term loans. Additional benefits are available for women entrepreneurs, differently-abled entrepreneurs, startups, and young entrepreneurs below 35 years of age.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
